timestamp,language,copilot_total,copilot_merged,codex_total,codex_merged,cursor_total,cursor_merged,devin_total,devin_merged,codegen_total,codegen_merged
2025-06-26 00:43:43,ruby,182,105,1240,986,12,6,407,285,10,3
2025-06-26 00:43:43,go,771,371,10449,8864,47,31,975,624,28,6
2025-06-26 00:43:43,php,227,166,11970,10525,41,29,400,306,20,9
2025-06-26 00:43:43,c%23,2437,1345,12199,10759,17,13,225,137,6,0
2025-06-26 00:43:43,c%2B%2B,376,163,9651,7783,38,33,800,449,19,6
2025-06-26 00:43:43,rust,609,406,11363,9823,126,99,970,671,40,21
2025-06-26 00:43:43,f%23,21,5,45,36,1,0,0,0,0,0
2025-06-27 00:43:58,all,18954,11459,506004,435838,2706,1990,29151,18590,4167,1695
2025-06-27 00:43:58,javascript,1839,1284,84509,75074,210,153,2286,1401,401,154
2025-06-27 00:43:58,typescript,4255,2578,87024,73470,1163,863,11841,7496,971,517
2025-06-27 00:43:58,python,3154,2054,141633,124636,456,311,5549,3612,1969,788
2025-06-27 00:43:58,java,501,286,12466,10432,28,17,440,268,56,5
2025-06-27 00:43:58,ruby,192,110,1259,997,13,7,409,286,10,3
2025-06-27 00:43:58,go,792,383,10869,9215,47,32,977,625,28,6
2025-06-27 00:43:58,php,246,173,12422,10941,41,29,401,306,22,9
2025-06-27 00:43:58,c%23,2538,1404,12900,11422,17,13,230,141,6,0
2025-06-27 00:43:58,c%2B%2B,384,170,9835,7951,42,35,800,449,19,6
2025-06-27 00:43:58,rust,637,425,11760,10175,128,100,971,671,40,21
2025-06-27 00:43:58,f%23,21,5,45,36,1,0,0,0,0,0
2025-06-28 00:42:01,all,19622,11837,518677,447249,2822,2075,29237,18642,4179,1697
2025-06-28 00:42:01,javascript,1898,1319,86769,77185,222,163,2290,1404,402,154
2025-06-28 00:42:01,typescript,4377,2650,89102,75395,1180,875,11874,7522,976,517
2025-06-28 00:42:01,python,3253,2091,145259,127983,499,343,5562,3616,1970,788
2025-06-28 00:42:01,java,512,288,12788,10698,28,18,441,268,56,5
2025-06-28 00:42:01,ruby,192,112,1270,1008,14,7,411,287,10,3
2025-06-28 00:42:01,go,820,398,11132,9424,48,32,980,625,28,6
2025-06-28 00:42:01,php,268,182,12868,11352,41,29,401,306,22,9
2025-06-28 00:42:01,c%23,2619,1448,13473,11943,17,13,234,143,6,0
2025-06-28 00:42:01,c%2B%2B,397,173,10003,8083,42,35,800,449,19,6
2025-06-28 00:42:01,rust,659,437,12037,10410,129,101,976,675,40,21
2025-06-28 00:42:01,f%23,21,5,45,36,1,0,0,0,0,0
2025-06-29 00:50:23,all,20078,12098,530378,457659,2943,2166,29311,18680,4202,1711
2025-06-29 00:50:23,javascript,1942,1350,89237,79460,231,166,2290,1404,402,155
2025-06-29 00:50:23,typescript,4472,2698,91313,77408,1210,902,11900,7536,992,528
2025-06-29 00:50:23,python,3309,2118,148177,130549,533,362,5610,3640,1973,789
2025-06-29 00:50:23,java,526,296,12951,10844,28,18,441,268,56,5
